PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,LOCATIONCODE,LAG,LOCATIONTYPE,RELATIONTYPE
5466,W105ON00,A105O000,105,-66,P,SS
5466,W107ON00,A107O000,107,-50,P,SS
5466,E10AP000,Z10AZPI0,10A,0,P,SS
5466,E10CP000,A10CO000,10C,0,P,SS
5466,E10FP000,A10FO000,10F,0,P,SS
5466,E10HP000,A10HO000,10H,0,P,SS
5466,E11AP000,A11AO000,11A,0,P,SS
5466,E11BP000,E11BPS00,11B,0,P,SS
5466,E11HP000,A11HO000,11H,0,P,SS
5466,E12DP000,A12DO000,12D,0,P,SS
5466,E12EP000,A12EO000,12E,0,P,SS
5466,E13DP000,A13DO000,13D,0,P,SS
5466,E13EP000,A13EO000,13E,0,P,SS
5466,E20JP000,A20JO000,20J,0,P,SS
5466,E20KP000,A20KO000,20K,0,P,SS
5466,E20LP000,A20LO000,20L,0,P,SS
5466,E20MP000,A20MO000,20M,0,P,SS
5466,E20NP000,A20NO000,20N,0,P,SS
5466,E22AP000,A22AO000,22A,0,P,SS
5466,E22BP000,A22BO000,22B,0,P,SS
5466,E23AP000,A23AO000,23A,0,P,SS
5466,E23BP000,A23BO000,23B,0,P,SS
5466,W421ON00,A421O000,421,-60,P,SS
5466,W431ON00,A431O000,431,-60,P,SS
5466,E50AP000,A50AO000,50A,0,P,SS
5466,E50BP000,A50BO000,50B,0,P,SS
5466,E50CP000,A50CO000,50C,0,P,SS
5466,E50DP000,E50DPG00,50D,0,P,SS
5466,E50EP000,A50EO000,50E,0,P,SS
5466,E50FP000,A50FO000,50F,0,P,SS
5466,E50GP000,A50GO000,50G,0,P,SS
5466,E50HP000,A50HO000,50H,0,P,SS
5466,E50JP000,A50JO000,50J,0,P,SS
5466,E50KP000,A50KO000,50K,0,P,SS
5466,E50LP000,A50LO000,50L,0,P,SS
5466,E50MP000,A50MO000,50M,0,P,SS
5466,E50NP000,A50NO000,50N,0,P,SS
5466,E62AP000,A62AO000,62A,0,P,SS
5466,E62CP000,A62CO000,62C,0,P,SS
5466,E62DP000,A62DO000,62D,0,P,SS
5466,E62EP000,A62EO000,62E,0,P,SS
5466,E62FP000,A62FO000,62F,0,P,SS
5466,E62GP000,A62GO000,62G,0,P,SS
5466,E62HP000,A62HO000,62H,0,P,SS
5466,E63AP000,A63AO000,63A,0,P,SS
5466,E63CP000,A63CO000,63C,0,P,SS
5466,E63DP000,A63DO000,63D,0,P,SS
5466,E63EP000,A63EO000,63E,0,P,SS
5466,E63FP000,A63FO000,63F,0,P,SS
5466,E63GP000,A63GO000,63G,0,P,SS
5466,E63HP000,A63HO000,63H,0,P,SS
5466,E80AP000,A80AO000,80A,0,P,SS
5466,E80BP000,A80BO000,80B,0,P,SS
5466,E80CP000,A80CO000,80C,0,P,SS
5466,E80DP000,A80DO000,80D,0,P,SS
5466,E90AP000,A90AO000,90A,0,P,SS
5466,E91AP000,A91AO000,91A,0,P,SS
5466,S101A000,C101CC00,101,-7,B,SS
5466,C101CC00,C101CP00,101,-1,B,SS
5466,S102A000,W102GS00,102,0,B,SS
5466,C102CC00,C102CP00,102,-1,B,SS
5466,S104A000,W104GS00,104,0,B,SS
5466,C104CC00,C104CP00,104,-1,B,SS
5466,S105A000,W105GS00,105,0,B,SS
5466,C105CC00,C105CP00,105,-1,B,SS
5466,S106A000,C106CC00,106,-7,B,SS
5466,C106CC00,C106CP00,106,-1,B,SS
5466,C107CC00,C107CP00,107,-1,B,SS
5466,S107A000,C107CC00,107,-7,B,SS
5466,S108A000,C108CC00,108,-7,B,SS
5466,C108CC00,C108CP00,108,-1,B,SS
5466,S109A000,C109CC00,109,-7,B,SS
5466,C109CC00,C109CP00,109,-1,B,SS
5466,S110A000,C110CC00,110,-7,B,SS
5466,C110CC00,C110CP00,110,-1,B,SS
5466,S111A000,C111CC00,111,-7,B,SS
5466,C111CC00,C111CP00,111,-1,B,SS
