PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,DESCRIPTION,PLANDURATION,물량,단위, 작업장
5466,P571BP00,571,B,571 BLK B Stage 선행 도장,5,561,M2,선행도장-상선-도장
5466,W571GA00,571,B,571 BLK A Stage 대조 의장 ('A'),14,1419.6,KG,조립의장-상선관철
5466,S634A000,634,B,634 BLK B Stage 조립,15,2641,JL,조립1-PBS
5466,C621CC00,621,B,621 BLK J Stage 절단,18,98.6,TON,가공-상선-절단
5466,S426A000,426,B,426 BLK B Stage 조립,9,624.1,JL,조립3-상선-NPS
5466,W225GC00,225,B,225 BLK C Stage 중조 의장 ('C'),13,928.5,KG,조립의장-상선관철
5466,S835A000,835,B,835 BLK B Stage 조립,17,1264.2,JL,조립3-상선-NPS
5466,S626A000,626,B,626 BLK B Stage 조립,15,3368.9,JL,조립1-PBS
5466,Z241ZBR0,241,B,241 BLK B Stage 발판 해체,1,223.3,매,발판지원-상선 일반발판
5466,Z832ZBI0,832,B,832 BLK B Stage 발판 설치,1,110,매,발판지원-상선 일반발판
5466,S294A000,294,B,294 BLK B Stage 조립,18,2185.1,JL,해양조립-조립-해양제작 1공장
5466,W293GA00,293,B,293 BLK A Stage 대조 의장 ('A'),11,306,KG,조립의장-상선관철
5466,S293A000,293,B,293 BLK B Stage 조립,17,1892.6,JL,해양조립-조립-해양제작 1공장
5466,P293BP00,293,B,293 BLK B Stage 선행 도장,7,4202.2,M2,선행도장-상선-도장
5466,C627CC00,627,B,627 BLK J Stage 절단,14,249.6,TON,가공-상선-절단
5466,Z627ZBR0,627,B,627 BLK B Stage 발판 해체,1,314,매,발판지원-상선 일반발판
5466,C183CP00,183,B,183 BLK J Stage 절단 전처리,19,0,TON,가공-상선-전처리
5466,W524GA00,524,B,524 BLK A Stage 대조 의장 ('A'),4,281,KG,조립의장-상선관철
5466,P223BC00,223,B,223 BLK B Stage 선행 도장 전처리,1,2373.8,M2,선행도장-상선-전처리
5466,C225CP00,225,B,225 BLK J Stage 절단 전처리,20,0,TON,가공-상선-전처리
5466,Z263ZBI0,263,B,263 BLK B Stage 발판 설치,1,138,매,발판지원-상선 일반발판
5466,P239BC00,239,B,239 BLK B Stage 선행 도장 전처리,1,5841.58,M2,선행도장-상선-전처리
5466,P836BP00,836,B,836 BLK B Stage 선행 도장,6,2148.2,M2,선행도장-상선-도장
5466,W102GB00,102,B,102 BLK B Stage 의장 ('B'),10,18735.929,KG,선행의장-상선 기장(POS)
5466,S542A000,542,B,542 BLK B Stage 조립,13,2651.6,JL,조립1-PBS
5466,Z635ZBR0,635,B,635 BLK B Stage 발판 해체,1,366.7,매,발판지원-상선 일반발판
5466,S113A000,113,B,113 BLK B Stage 조립,32,1131.7,JL,사외-조립-주)퍼시
5466,C283CP00,283,B,283 BLK J Stage 절단 전처리,16,0,TON,가공-상선-전처리
5466,S905A000,905,B,905 BLK B Stage 조립,15,0,0,사외-조립-신한기계-선실용
5466,C633CP00,633,B,633 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,C154CP00,154,B,154 BLK J Stage 절단 전처리,27,0,TON,가공-상선-전처리
5466,C152CP00,152,B,152 BLK J Stage 절단 전처리,27,0,TON,가공-상선-전처리
5466,W836GA00,836,B,836 BLK A Stage 대조 의장 ('A'),10,1,LOT,조립의장-상선관철
5466,W144GC00,144,B,144 BLK C Stage 중조 의장 ('C'),13,206.56,KG,해양의장3-선행-해양관철(조립의장)
5466,Z242ZBI0,242,B,242 BLK B Stage 발판 설치,1,230,매,발판지원-상선 일반발판
5466,P652BC00,652,B,652 BLK B Stage 선행 도장 전처리,1,4367.58,M2,선행도장-상선-전처리
5466,P261BP00,261,B,261 BLK B Stage 선행 도장,8,5839.6,M2,선행도장-상선-도장
5466,S223A000,223,B,223 BLK B Stage 조립,15,1228.8,JL,조립1-PBS
5466,W651GA00,651,B,651 BLK A Stage 대조 의장 ('A'),14,327.5,KG,조립의장-상선관철
5466,Z125ZBI0,125,B,125 BLK B Stage 발판 설치,1,83.3,매,사외-발판-(주)퍼쉬 (안정공장)
5466,W222GC00,222,B,222 BLK C Stage 중조 의장 ('C'),7,1439.7,KG,조립의장-상선관철
5466,P537BP00,537,B,537 BLK B Stage 선행 도장,6,3929.6,M2,선행도장-상선-도장
5466,Z627ZBI0,627,B,627 BLK B Stage 발판 설치,2,314,매,발판지원-상선 일반발판
5466,Z834ZBI0,834,B,834 BLK B Stage 발판 설치,1,137.7,매,발판지원-상선 일반발판
5466,U132GB00,132,B,132 BLK B Stage UNIT 의장 ('B'),7,318.165,KG,사외-선행의장 기장-삼강에스앤씨
5466,U142GB00,142,B,142 BLK B Stage UNIT 의장 ('B'),8,1,LOT,선행의장-상선 기장(기타:UNIT조립)
5466,S625A000,625,B,625 BLK B Stage 조립,15,3060.1,JL,조립1-PBS
5466,Z192ZBR0,192,B,192 BLK B Stage 발판 해체,1,164.2,매,발판지원-상선 일반발판
5466,T105O000,105,P,PE장 착수~탑재 공기,6,0,-,NO1
5466,C231CC00,231,B,231 BLK J Stage 절단,14,164.8,TON,가공-상선-절단
5466,Z661ZBR0,661,B,661 BLK B Stage 발판 해체,1,206.5,매,발판지원-상선 일반발판
5466,Z235ZBR0,235,B,235 BLK B Stage 발판 해체,1,225,매,발판지원-상선 일반발판
5466,P731BP00,731,B,731 BLK B Stage 선행 도장,4,538.4,M2,선행도장-상선-도장
5466,W633GA00,633,B,633 BLK A Stage 대조 의장 ('A'),10,3195.7,KG,조립의장-상선관철
5466,W153GS00,153,B,153 BLK S Stage 소조 의장 ('S'),5,180.78,KG,해양의장3-선행-해양관철(조립의장)
5466,W552GA00,552,B,552 BLK A Stage 대조 의장 ('A'),23,1546.1,KG,조립의장-상선관철
5466,Z143ZBR0,143,B,143 BLK B Stage 발판 해체,1,248.2,매,발판지원-상선 일반발판
5466,Z134ZBR0,134,B,134 BLK B Stage 발판 해체,2,285.7,매,발판지원-상선 일반발판
5466,W923GB00,923,B,923 BLK B Stage 의장 ('B'),16,0,0,사외-선행의장-관철-신한기계-선실용
5466,S225A000,225,B,225 BLK B Stage 조립,21,3153.8,JL,조립1-PBS
5466,S237A000,237,B,237 BLK B Stage 조립,21,3041.4,JL,조립1-PBS
5466,C751CP00,751,B,751 BLK J Stage 절단 전처리,15,0,TON,가공-상선-전처리
5466,P142BC00,142,B,142 BLK B Stage 선행 도장 전처리,1,1280.75,M2,선행도장-상선-전처리
5466,S206A000,206,B,206 BLK B Stage 조립,15,3622.9,JL,조립1-PBS
5466,S532A000,532,B,532 BLK B Stage 조립,13,2491.2,JL,조립3-상선-NPS
5466,P523BP00,523,B,523 BLK B Stage 선행 도장,6,4657,M2,선행도장-상선-도장
5466,P206BP00,206,B,206 BLK B Stage 선행 도장,6,8710.1,M2,선행도장-상선-도장
5466,Z633ZBI0,633,B,633 BLK B Stage 발판 설치,2,322.3,매,발판지원-상선 일반발판
5466,S207A000,207,B,207 BLK B Stage 조립,14,3001.7,JL,조립1-PBS
5466,P544BC00,544,B,544 BLK B Stage 선행 도장 전처리,1,2805.04,M2,선행도장-상선-전처리
5466,W823GS00,823,B,823 BLK S Stage 소조 의장 ('S'),5,188,KG,조립의장-상선관철
5466,C171CP00,171,B,171 BLK J Stage 절단 전처리,20,0,TON,가공-상선-전처리
5466,C621CP00,621,B,621 BLK J Stage 절단 전처리,18,0,TON,가공-상선-전처리
5466,Z823ZBR0,823,B,823 BLK B Stage 발판 해체,1,176.5,매,발판지원-상선 일반발판
5466,P551BC00,551,B,551 BLK B Stage 선행 도장 전처리,1,3641.02,M2,선행도장-상선-전처리
5466,C144CP00,144,B,144 BLK J Stage 절단 전처리,20,0,TON,가공-상선-전처리
5466,C906CC00,906,B,906 BLK J Stage 절단,14,0,TON,사외-가공 절단-신한기계-선실용
5466,S144A000,144,B,144 BLK B Stage 조립,21,1931.6,JL,해양조립-조립-해양제작 1공장
5466,P542BC00,542,B,542 BLK B Stage 선행 도장 전처리,1,3526.18,M2,선행도장-상선-전처리
5466,S106A000,106,B,106 BLK B Stage 조립,19,619.7,JL,해양조립-조립-해양제작 1공장
5466,P110BP00,110,B,110 BLK B Stage 선행 도장,7,1228.8,M2,선행도장-상선-도장
5466,P203BC00,203,B,203 BLK B Stage 선행 도장 전처리,1,6458.82,M2,선행도장-상선-전처리
5466,W932GB00,932,B,932 BLK B Stage 의장 ('B'),16,0,0,사외-선행의장-관철-신한기계-선실용
5466,P207BC00,207,B,207 BLK B Stage 선행 도장 전처리,1,6090.06,M2,선행도장-상선-전처리
5466,P207BP00,207,B,207 BLK B Stage 선행 도장,6,8116.7,M2,선행도장-상선-도장
5466,P534BC00,534,B,534 BLK B Stage 선행 도장 전처리,1,3333.36,M2,선행도장-상선-전처리
5466,P222BP00,222,B,222 BLK B Stage 선행 도장,7,5715.3,M2,선행도장-상선-도장
5466,Z134ZBI0,134,B,134 BLK B Stage 발판 설치,3,285.7,매,발판지원-상선 일반발판
5466,C101CP00,101,B,101 BLK J Stage 절단 전처리,29,0,TON,가공-상선-전처리
5466,S834A000,834,B,834 BLK B Stage 조립,17,1398.1,JL,조립3-상선-NPS
5466,Z227ZBR0,227,B,227 BLK B Stage 발판 해체,1,225,매,발판지원-상선 일반발판
5466,C636CP00,636,B,636 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,Z251ZBR0,251,B,251 BLK B Stage 발판 해체,1,223.3,매,발판지원-상선 일반발판
5466,S145A000,145,B,145 BLK B Stage 조립,31,787.6,JL,사외-조립-(주)퍼쉬 (안정공장)
5466,S443A000,443,B,443 BLK B Stage 조립,9,200.2,JL,조립3-상선-NPS
5466,W554GA00,554,B,554 BLK A Stage 대조 의장 ('A'),4,967.9,KG,조립의장-상선관철
5466,P622BP01,622,B,622 BLK B Stage 선행 보수 도장,3,1,LOT,선행도장-상선-도장
5466,Z234ZBR0,234,B,234 BLK B Stage 발판 해체,1,136.7,매,발판지원-상선 일반발판
5466,S254A000,254,B,254 BLK B Stage 조립,15,2040.6,JL,조립1-PBS
5466,P804BP00,804,B,804 BLK B Stage 선행 도장,6,674.2,M2,선행도장-상선-도장
5466,P623BP01,623,B,623 BLK B Stage 선행 보수 도장,3,1,LOT,선행도장-상선-도장
5466,W523GA00,523,B,523 BLK A Stage 대조 의장 ('A'),5,2428.6,KG,조립의장-상선관철
5466,P561BP00,561,B,561 BLK B Stage 선행 도장,5,573.5,M2,선행도장-상선-도장
5466,C561CP00,561,B,561 BLK J Stage 절단 전처리,19,0,TON,가공-상선-전처리
5466,U193GB00,193,B,193 BLK B Stage UNIT 의장 ('B'),8,1,LOT,선행의장-상선 기장(기타:UNIT조립)
5466,C227CP00,227,B,227 BLK J Stage 절단 전처리,20,0,TON,가공-상선-전처리
5466,W227GC00,227,B,227 BLK C Stage 중조 의장 ('C'),13,906.8,KG,조립의장-상선관철
5466,S228A000,228,B,228 BLK B Stage 조립,22,2969.3,JL,조립1-PBS
5466,S154A000,154,B,154 BLK B Stage 조립,25,2064.3,JL,해양조립-조립-해양제작 1공장
5466,C723CP00,723,B,723 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,P624BP00,624,B,624 BLK B Stage 선행 도장,7,5918.1,M2,선행도장-상선-도장
5466,S991A000,991,B,991 BLK B Stage 조립,37,0,0,사외-조립-신한기계-선실용
5466,W751GA00,751,B,751 BLK A Stage 대조 의장 ('A'),10,2133,KG,조립의장-상선관철
5466,W535GC00,535,B,535 BLK C Stage 중조 의장 ('C'),5,694.1,KG,조립의장-상선관철
5466,S811A000,811,B,811 BLK B Stage 조립,5,246.3,JL,사외-조립-기득
