COMPANYID,RELATIONNO,CASENO,PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,RELATIONTYPE,LAG,LOCATIONCODE,LOCATIONTYPE
D,1114170913,2020-36-04,5466,S101A000,C101CC00,SS,-7,101,B
D,1114170914,2020-36-04,5466,C101CC00,C101CP00,SS,-1,101,B
D,1114170915,2020-36-04,5466,S102A000,C102CC00,SS,-7,102,B
D,1114170916,2020-36-04,5466,C102CC00,C102CP00,SS,-1,102,B
D,1114170917,2020-36-04,5466,S104A000,C104CC00,SS,-7,104,B
D,1114170918,2020-36-04,5466,C104CC00,C104CP00,SS,-1,104,B
D,1114170919,2020-36-04,5466,S105A000,C105CC00,SS,-7,105,B
D,1114170920,2020-36-04,5466,C105CC00,C105CP00,SS,-1,105,B
D,1114170921,2020-36-04,5466,S106A000,C106CC00,SS,-7,106,B
D,1114170922,2020-36-04,5466,C106CC00,C106CP00,SS,-1,106,B
D,1114170923,2020-36-04,5466,S107A000,C107CC00,SS,-7,107,B
D,1114170924,2020-36-04,5466,C107CC00,C107CP00,SS,-1,107,B
D,1114170925,2020-36-04,5466,S108A000,C108CC00,SS,-7,108,B
D,1114170926,2020-36-04,5466,C108CC00,C108CP00,SS,-1,108,B
D,1114170927,2020-36-04,5466,S109A000,C109CC00,SS,-7,109,B
D,1114170928,2020-36-04,5466,C109CC00,C109CP00,SS,-1,109,B
D,1114170929,2020-36-04,5466,S110A000,C110CC00,SS,-7,110,B
D,1114170930,2020-36-04,5466,C110CC00,C110CP00,SS,-1,110,B
D,1114170931,2020-36-04,5466,S111A000,C111CC00,SS,-7,111,B
D,1114170932,2020-36-04,5466,C111CC00,C111CP00,SS,-1,111,B
D,1114170933,2020-36-04,5466,S113A000,C113CC00,SS,-7,113,B
D,1114170934,2020-36-04,5466,C113CC00,C113CP00,SS,-1,113,B
D,1114170935,2020-36-04,5466,S121A000,C121CC00,SS,-7,121,B
D,1114170936,2020-36-04,5466,C121CC00,C121CP00,SS,-1,121,B
D,1114170937,2020-36-04,5466,S122A000,C122CC00,SS,-8,122,B
D,1114170938,2020-36-04,5466,C122CC00,C122CP00,SS,-1,122,B
D,1114170939,2020-36-04,5466,S123A000,C123CC00,SS,-7,123,B
D,1114170940,2020-36-04,5466,C123CC00,C123CP00,SS,-1,123,B
D,1114170941,2020-36-04,5466,S124A000,C124CC00,SS,-7,124,B
D,1114170942,2020-36-04,5466,C124CC00,C124CP00,SS,-1,124,B
D,1114170943,2020-36-04,5466,S125A000,C125CC00,SS,-7,125,B
D,1114170944,2020-36-04,5466,C125CC00,C125CP00,SS,-1,125,B
D,1114170945,2020-36-04,5466,S131A000,C131CC00,SS,-7,131,B
D,1114170946,2020-36-04,5466,C131CC00,C131CP00,SS,-1,131,B
D,1114170947,2020-36-04,5466,S132A000,C132CC00,SS,-7,132,B
D,1114170948,2020-36-04,5466,C132CC00,C132CP00,SS,-1,132,B
D,1114170949,2020-36-04,5466,S133A000,C133CC00,SS,-9,133,B
D,1114170950,2020-36-04,5466,C133CC00,C133CP00,SS,-1,133,B
D,1114170951,2020-36-04,5466,S134A000,C134CC00,SS,-8,134,B
D,1114170952,2020-36-04,5466,C134CC00,C134CP00,SS,-1,134,B
D,1114170953,2020-36-04,5466,S135A000,C135CC00,SS,-7,135,B
D,1114170954,2020-36-04,5466,C135CC00,C135CP00,SS,-1,135,B
D,1114170955,2020-36-04,5466,S142A000,C142CC00,SS,-12,142,B
D,1114170956,2020-36-04,5466,C142CC00,C142CP00,SS,-1,142,B
D,1114170957,2020-36-04,5466,S143A000,C143CC00,SS,-7,143,B
D,1114170958,2020-36-04,5466,C143CC00,C143CP00,SS,-1,143,B
D,1114170959,2020-36-04,5466,S144A000,C144CC00,SS,-7,144,B
D,1114170960,2020-36-04,5466,C144CC00,C144CP00,SS,-1,144,B
D,1114170961,2020-36-04,5466,S145A000,C145CC00,SS,-7,145,B
D,1114170962,2020-36-04,5466,C145CC00,C145CP00,SS,-1,145,B
D,1114170963,2020-36-04,5466,S152A000,C152CC00,SS,-7,152,B
D,1114170964,2020-36-04,5466,C152CC00,C152CP00,SS,-1,152,B
D,1114170965,2020-36-04,5466,S153A000,C153CC00,SS,-15,153,B
D,1114170966,2020-36-04,5466,C153CC00,C153CP00,SS,-1,153,B
D,1114170967,2020-36-04,5466,S154A000,C154CC00,SS,-10,154,B
D,1114170968,2020-36-04,5466,C154CC00,C154CP00,SS,-1,154,B
D,1114170969,2020-36-04,5466,S155A000,C155CC00,SS,-8,155,B
D,1114170970,2020-36-04,5466,C155CC00,C155CP00,SS,-1,155,B
D,1114170971,2020-36-04,5466,S161A000,C161CC00,SS,-7,161,B
D,1114170972,2020-36-04,5466,C161CC00,C161CP00,SS,-1,161,B
D,1114170973,2020-36-04,5466,S171A000,C171CC00,SS,-11,171,B
D,1114172117,2020-36-04,5466,W171GB00,U171GB00,SS,-7,171,B
D,1114170975,2020-36-04,5466,S182A000,C182CC00,SS,-18,182,B
D,1114170976,2020-36-04,5466,C182CC00,C182CP00,SS,-1,182,B
D,1114170977,2020-36-04,5466,S183A000,C183CC00,SS,-7,183,B
D,1114170978,2020-36-04,5466,C183CC00,C183CP00,SS,-1,183,B
D,1114170979,2020-36-04,5466,S192A000,C192CC00,SS,-7,192,B
D,1114170980,2020-36-04,5466,C192CC00,C192CP00,SS,-1,192,B
D,1114170981,2020-36-04,5466,S193A000,C193CC00,SS,-7,193,B
D,1114170982,2020-36-04,5466,C193CC00,C193CP00,SS,-1,193,B
D,1114170983,2020-36-04,5466,S203A000,C203CC00,SS,-7,203,B
D,1114170984,2020-36-04,5466,C203CC00,C203CP00,SS,-1,203,B
D,1114170985,2020-36-04,5466,S204A000,C204CC00,SS,-7,204,B
D,1114170986,2020-36-04,5466,C204CC00,C204CP00,SS,-1,204,B
D,1114170987,2020-36-04,5466,S205A000,C205CC00,SS,-7,205,B
D,1114170988,2020-36-04,5466,C205CC00,C205CP00,SS,-1,205,B
D,1114170989,2020-36-04,5466,S206A000,C206CC00,SS,-7,206,B
D,1114170990,2020-36-04,5466,C206CC00,C206CP00,SS,-1,206,B
D,1114170991,2020-36-04,5466,S207A000,C207CC00,SS,-7,207,B
D,1114170992,2020-36-04,5466,C207CC00,C207CP00,SS,-1,207,B
D,1114170993,2020-36-04,5466,S208A000,C208CC00,SS,-7,208,B
D,1114170994,2020-36-04,5466,C208CC00,C208CP00,SS,-1,208,B
D,1114170995,2020-36-04,5466,S209A000,C209CC00,SS,-7,209,B
D,1114170996,2020-36-04,5466,C209CC00,C209CP00,SS,-1,209,B
D,1114170997,2020-36-04,5466,S211A000,C211CC00,SS,-7,211,B
D,1114170998,2020-36-04,5466,C211CC00,C211CP00,SS,-1,211,B
D,1114170999,2020-36-04,5466,S212A000,C212CC00,SS,-7,212,B
D,1114171000,2020-36-04,5466,C212CC00,C212CP00,SS,-1,212,B
D,1114171001,2020-36-04,5466,S221A000,C221CC00,SS,-7,221,B
