COMPANYID,CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,STAGECODE,FLAGCODE,PROCESSCODE,PROCESSSERNO,SHOPCODE,WORKCODE,SECTCODE,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,ACTUALSTARTDATE,ACTUALFINISHDATE,ACTUALDURATION,VOL1,MH1,VOL2,MH2,VOL3,MH3,KLOFFSET,DESCUPDOWN,LINEPOSITION,NETWORKID,ACTIVITYDESC,RESOURCEFLAG,DISTRIBCODE,PROCESSRATIO,ACTUALIFDATE,OPERATIONSTARTDATE,OPERATIONFINISHDATE,OPERATIONIFDATE,CALENDAR_CASENO,CGCODE,CCCODE,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER,PLANVOLMH,ACTUALVOLMH,MH4,ACTUALIFINDC
D,2020-36-04,5466,P571BP00,571,B,B,P,B,P00,NO1,PBPT,6200,2020-01-16,2020-01-22,5,2020-01-10,2020-02-28,,561.4,14.9,805.3,13.5,3,0,,,,,,,,100,,,,,,PB201,6200,2020-04-20,1007589,2020-05-07,1005840,,,12.9,Y
D,2020-36-04,5466,W571GA00,571,B,A,W,G,A00,BOS,WBHD,2204,2019-12-16,2020-01-07,14,2019-12-28,2019-12-29,,0,9.3,0,0,0,0,,,,,,,,100,,,,,,WG201,2204,2020-04-20,1007589,2020-05-07,1005840,,,8.9,Y
D,2020-36-04,5466,S634A000,634,B,B,S,A,000,PBS,SBBK,####,2019-10-25,2019-11-14,15,2019-10-29,2019-11-14,,2641,497.5,0,0,0,0,0,,0,0,,,,100,,,,,,SA101,2200,2020-04-20,1007589,2020-05-07,1005840,,,496.8,Y
D,2020-36-04,5466,C621CC00,621,B,J,C,C,C00,CTS,CCBK,2100,2019-10-22,2019-11-14,18,2019-10-16,2019-11-12,,105.7,79.4,0,0,0,0,,,,,,,,100,,,,,,SC002,2100,2020-04-20,1007589,2020-05-14,1003361,,,70.8,Y
D,2020-36-04,5466,S426A000,426,B,B,S,A,000,NPS,SBBK,####,2019-12-09,2019-12-19,9,2019-12-06,2019-12-17,,624.1,132.9,0,0,0,0,0,,0,0,,,,100,,,,,,SA101,2500,2020-04-20,1007589,2020-05-07,1005840,,,125.1,Y
D,2020-36-04,5466,W225GC00,225,B,C,W,G,C00,PBS,WBHD,2204,2019-10-29,2019-11-14,13,2019-11-02,2019-11-16,,0,9.3,0,0,0,0,0,,0,0,,,,100,,,,,,WG201,2204,2020-04-20,1007589,2020-05-07,1005840,,,8.9,Y
D,2020-36-04,5466,S835A000,835,B,B,S,A,000,NPS,SBBK,####,2019-12-23,2020-01-17,17,2019-12-17,2020-01-23,,1264.2,585.4,0,0,0,0,0,,0,0,,,,100,,,,,,SA101,2500,2020-04-20,1007589,2020-05-07,1005840,,,634.3,Y
D,2020-36-04,5466,S626A000,626,B,B,S,A,000,PBS,SBBK,####,2019-11-05,2019-11-25,15,2019-11-05,2019-11-24,,3368.9,767.8,0,0,0,0,0,,0,0,,,,100,,,,,,SA101,2200,2020-04-20,1007589,2020-05-07,1005840,,,789.4,Y
D,2020-36-04,5466,Z241ZBR0,241,B,B,Z,Z,BR0,NTA,ESCF,2901,2020-01-29,2020-01-29,1,2020-01-14,2020-01-14,,222.4,22.6,0,20.9,0,0,0,,0,0,,,,100,,,,,,ZZ101,4370,2020-04-20,1007589,2020-05-07,1005840,,,19.3,Y
D,2020-36-04,5466,Z832ZBI0,832,B,B,Z,Z,BI0,NO1,ESCF,2901,2020-01-16,2020-01-16,1,2020-01-18,2020-01-18,,109.6,21.6,0,20,0,0,0,,0,0,,,,100,,,,,,ZZ101,4370,2020-04-20,1007589,2020-05-07,1005840,,,18.5,Y
