COMPANYID,CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,STAGECODE,FLAGCODE,PROCESSCODE,PROCESSSERNO,SHOPCODE,WORKCODE,SECTCODE,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,LAG,MH1,VOL1,VOL2,RELATIONTYPE,PREVSTAGECODE,PREVFLAGCODE,PREVPROCESSCODE,PREVPROCESSSERNO,RELATIONNO
D,2020-36-04,5466,P571BP00,571,B,B,P,B,P00,NO1,PBPT,6200,2020-01-16,2020-01-22,5,1,14.9,561.4,805.3,FS,B,P,B,C00,1114171905
D,2020-36-04,5466,W571GA00,571,B,A,W,G,A00,BOS,WBHD,2204,2019-12-16,2020-01-07,14,1,9.3,0,0,FS,B,S,A,000,1114172436
D,2020-36-04,5466,S634A000,634,B,B,S,A,000,PBS,SBBK,####,2019-10-25,2019-11-14,15,,497.5,2641,0,,,,,,
D,2020-36-04,5466,C621CC00,621,B,J,C,C,C00,CTS,CCBK,2100,2019-10-22,2019-11-14,18,-7,79.4,105.7,0,SS,B,S,A,000,1114171165
D,2020-36-04,5466,S426A000,426,B,B,S,A,000,NPS,SBBK,####,2019-12-09,2019-12-19,9,,132.9,624.1,0,,,,,,
D,2020-36-04,5466,W225GC00,225,B,C,W,G,C00,PBS,WBHD,2204,2019-10-29,2019-11-14,13,4,9.3,0,0,SS,B,S,A,000,1114172278
D,2020-36-04,5466,S835A000,835,B,B,S,A,000,NPS,SBBK,####,2019-12-23,2020-01-17,17,,585.4,1264.2,0,,,,,,
D,2020-36-04,5466,S626A000,626,B,B,S,A,000,PBS,SBBK,####,2019-11-05,2019-11-25,15,,767.8,3368.9,0,,,,,,
D,2020-36-04,5466,Z241ZBR0,241,B,B,Z,Z,BR0,NTA,ESCF,2901,2020-01-29,2020-01-29,1,1,22.6,222.4,0,FS,B,P,B,P00,1114172736
D,2020-36-04,5466,Z832ZBI0,832,B,B,Z,Z,BI0,NO1,ESCF,2901,2020-01-16,2020-01-16,1,2,21.6,109.6,0,FS,A,W,G,A00,1114172946
D,2020-36-04,5466,S294A000,294,B,B,S,A,000,OFD,SBBK,####,2019-11-22,2019-12-17,18,,1154.5,2164.4,0,,,,,,
D,2020-36-04,5466,W293GA00,293,B,A,W,G,A00,GOS,WBHD,2204,2019-12-19,2020-01-07,11,-4,8.3,0,0,FS,B,S,A,000,1114172345
D,2020-36-04,5466,S293A000,293,B,B,S,A,000,GBS,SBBK,####,2019-12-03,2019-12-26,17,,934.9,1892.6,0,,,,,,
D,2020-36-04,5466,P293BP00,293,B,B,P,B,P00,NO1,PBPT,6200,2020-01-15,2020-01-23,7,1,104,4205.2,0,FS,B,P,B,C00,1114171828
D,2020-36-04,5466,C627CC00,627,B,J,C,C,C00,CTS,CCBK,2100,2019-10-31,2019-11-19,14,-7,180,268.1,0,SS,B,S,A,000,1114171177
D,2020-36-04,5466,Z627ZBR0,627,B,B,Z,Z,BR0,NO1,ESCF,2901,2019-12-24,2019-12-24,1,1,26.8,312.8,0,FS,B,P,B,P00,1114172852
D,2020-36-04,5466,C183CP00,183,B,J,C,C,P00,CTS,CPBK,2100,2019-10-07,2019-10-31,19,-1,5.2,0,0,SS,J,C,C,C00,1114170978
D,2020-36-04,5466,W524GA00,524,B,A,W,G,A00,BOS,WBHD,2204,2019-11-27,2019-12-02,4,-1,17.3,0,0,FS,B,S,A,000,1114172388
D,2020-36-04,5466,P223BC00,223,B,B,P,B,C00,TEX,PBBT,6200,2019-11-29,2019-11-29,1,6,52.4,1610.7,1504.8,FS,A,W,G,A00,1114171751
D,2020-36-04,5466,C225CP00,225,B,J,C,C,P00,CTS,CPBK,2100,2019-10-11,2019-11-07,20,-1,11.3,0,0,SS,J,C,C,C00,1114171010
D,2020-36-04,5466,Z263ZBI0,263,B,B,Z,Z,BI0,NO1,ESCF,2901,2019-11-25,2019-11-25,1,2,32.9,137.5,0,FS,A,W,G,A00,1114172747
D,2020-36-04,5466,P239BC00,239,B,B,P,B,C00,NTA,PBBT,6200,2020-01-13,2020-01-13,1,5,129.6,3963.6,3713.7,FS,B,Z,Z,BI0,1114171783
D,2020-36-04,5466,P836BP00,836,B,B,P,B,P00,NO1,PBPT,6200,2020-01-31,2020-02-07,6,1,67.9,2149.7,3262.7,FS,B,P,B,C00,1114172045
D,2020-36-04,5466,W102GB00,102,B,B,W,G,B00,POS,WBER,3103,2019-10-07,2019-10-18,10,5,325.4,0,0,FS,B,S,A,000,1114172125
D,2020-36-04,5466,S542A000,542,B,B,S,A,000,PBS,SBBK,####,2019-11-20,2019-12-06,13,,514.9,2651.6,0,,,,,,
D,2020-36-04,5466,Z635ZBR0,635,B,B,Z,Z,BR0,NO1,ESCF,2901,2019-12-13,2019-12-13,1,1,31.4,365.3,0,FS,B,P,B,P00,1114172880
D,2020-36-04,5466,S113A000,113,B,B,S,A,000,PSH,SBBK,####,2019-10-28,2019-12-10,32,,875.9,1131.7,0,,,,,,
D,2020-36-04,5466,C283CP00,283,B,J,C,C,P00,CTS,CPBK,2100,2019-11-21,2019-12-12,16,-1,7.3,0,0,SS,J,C,C,C00,1114171066
D,2020-36-04,5466,S905A000,905,B,B,S,A,000,SHD,SBBK,####,2019-08-28,2019-09-19,15,,554.2,1522,0,,,,,,
D,2020-36-04,5466,C633CP00,633,B,J,C,C,P00,CTS,CPBK,2100,2019-10-16,2019-11-04,14,-1,0,0,0,SS,J,C,C,C00,1114171188
D,2020-36-04,5466,C154CP00,154,B,J,C,C,P00,CTS,CPBK,2100,2019-10-01,2019-11-07,27,-1,0,0,0,SS,J,C,C,C00,1114170968
D,2020-36-04,5466,C152CP00,152,B,J,C,C,P00,CTS,CPBK,2100,2019-08-23,2019-10-02,27,-1,0,0,0,SS,J,C,C,C00,1114170964
D,2020-36-04,5466,W836GA00,836,B,A,W,G,A00,GOS,WBHD,2204,2020-01-07,2020-01-20,10,-1,125.3,0,0,FS,B,S,A,000,1114172580
D,2020-36-04,5466,W144GC00,144,B,C,W,G,C00,OFD,WBER,4600,2019-10-18,2019-11-05,13,4,83.6,0,0,SS,B,S,A,000,1114172210
D,2020-36-04,5466,Z242ZBI0,242,B,B,Z,Z,BI0,NO1,ESCF,2901,2020-01-07,2020-01-07,1,6,54.9,229.2,0,FS,A,W,G,A00,1114172737
D,2020-36-04,5466,P652BC00,652,B,B,P,B,C00,NO1,PBBT,6200,2020-01-20,2020-01-20,1,5,94.6,2963.5,2780.3,FS,B,Z,Z,BI0,1114171989
D,2020-36-04,5466,P261BP00,261,B,B,P,B,P00,NO1,PBPT,6200,2019-11-20,2019-11-29,8,1,230.1,5843.7,6054.4,FS,B,P,B,C00,1114171804
D,2020-36-04,5466,S223A000,223,B,B,S,A,000,PBS,SBBK,####,2019-10-29,2019-11-18,15,,320.1,1228.8,0,,,,,,
D,2020-36-04,5466,W651GA00,651,B,A,W,G,A00,BOS,WBHD,2204,2019-12-16,2020-01-07,14,-4,16,0,0,FS,B,S,A,000,1114172496
D,2020-36-04,5466,Z125ZBI0,125,B,B,Z,Z,BI0,PSA,ESCF,9999,2019-12-11,2019-12-11,1,1,16.6,83,0,FS,B,W,G,B00,1114172647
D,2020-36-04,5466,W222GC00,222,B,C,W,G,C00,PBS,WBHD,2204,2019-10-30,2019-11-07,7,4,0,0,0,SS,B,S,A,000,1114172272
D,2020-36-04,5466,P537BP00,537,B,B,P,B,P00,NO1,PBPT,6200,2020-01-13,2020-01-20,6,1,97.1,3982.7,4200.9,FS,B,P,B,C00,1114171881
D,2020-36-04,5466,Z627ZBI0,627,B,B,Z,Z,BI0,NO1,ESCF,2901,2019-12-05,2019-12-06,2,2,62.4,312.9,0,FS,A,W,G,A00,1114172851
D,2020-36-04,5466,Z834ZBI0,834,B,B,Z,Z,BI0,NO1,ESCF,2901,2020-01-20,2020-01-20,1,2,26.9,137.2,0,FS,A,W,G,A00,1114172950
D,2020-36-04,5466,U132GB00,132,B,B,U,G,B00,SSC,WBER,3123,2019-09-16,2019-09-24,7,-7,87.8,0,0,SS,B,W,G,B00,1114172104
D,2020-36-04,5466,U142GB00,142,B,B,U,G,B00,OOS,WBER,3103,2019-10-21,2019-10-30,8,-7,0,0,0,SS,B,W,G,B00,1114172108
D,2020-36-04,5466,S625A000,625,B,B,S,A,000,PBS,SBBK,####,2019-10-31,2019-11-20,15,,585.8,3060.1,0,,,,,,
D,2020-36-04,5466,Z192ZBR0,192,B,B,Z,Z,BR0,NTA,ESCF,2901,2019-12-13,2019-12-13,1,1,14.1,163.6,0,FS,B,P,B,P00,1114172690
D,2020-36-04,5466,W105GB00,105,B,B,W,G,B00,POS,WBER,3103,2019-12-26,2019-12-31,4,4,110.7,0,0,FS,B,S,A,000,1114172131
D,2020-36-04,5466,C231CC00,231,B,J,C,C,C00,CTS,CCBK,2100,2019-10-11,2019-10-30,14,-7,6.3,176.9,0,SS,B,S,A,000,1114171019
D,2020-36-04,5466,Z661ZBR0,661,B,B,Z,Z,BR0,NO1,ESCF,2901,2019-12-18,2019-12-18,1,1,21.2,205.7,0,FS,B,P,B,P00,1114172920
D,2020-36-04,5466,Z235ZBR0,235,B,B,Z,Z,BR0,TEX,ESCF,2901,2019-12-16,2019-12-16,1,1,23.1,224.1,0,FS,B,P,B,P00,1114172722
