COMPANYID,CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,STAGECODE,FLAGCODE,PROCESSCODE,PROCESSSERNO,SHOPCODE,WORKCODE,SECTCODE,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,LAG,MH1,VOL1,VOL2,RELATIONTYPE,PREVSTAGECODE,PREVFLAGCODE,PREVPROCESSCODE,PREVPROCESSSERNO,RELATIONNO
D,2020-36-04,5466,E62FPG00,62F,P,P,E,P,G00,NO1,EHPF,4100,2019-12-30,2020-01-16,12,2,159.2,152.3,0,SS,P,E,P,000,1114318097
D,2020-36-04,5466,E62FPS00,62F,P,P,E,P,S00,NO1,EHPS,4100,2019-12-26,2020-01-08,8,0,27.8,,0,SS,P,E,P,000,1114318098
D,2020-36-04,5466,P62FPP00,62F,P,P,P,P,P00,NO1,PH00,6302,2020-01-17,2020-01-21,3,1,166.4,0,0,FS,P,W,O,P00,1114318099
D,2020-36-04,5466,E63HPS00,63H,P,P,E,P,S00,NO1,EHPS,4100,2020-01-16,2020-01-30,8,0,25.7,,0,SS,P,E,P,000,1114318100
D,2020-36-04,5466,P63HPP00,63H,P,P,P,P,P00,NO1,PH00,6302,2020-02-03,2020-02-05,3,1,148.7,0,0,FS,P,W,O,P00,1114318101
D,2020-36-04,5466,Z62EZPI0,62E,P,P,Z,Z,PI0,NO1,ESCF,2901,2019-12-18,2019-12-26,6,0,87.4,72.7,0,SS,P,E,P,000,1114318102
D,2020-36-04,5466,Z62EZPR0,62E,P,P,Z,Z,PR0,NO1,ESCF,2901,2020-01-17,2020-01-17,1,1,68,72.7,0,FS,P,P,P,P00,1114318103
D,2020-36-04,5466,E62EPM00,62E,P,P,E,P,M00,NO1,EHPS,4100,2020-01-22,2020-01-23,2,,7.8,,0,,,,,,
D,2020-36-04,5466,T62EO000,62E,P,P,T,O,000,NO1,####,####,2019-12-18,2020-01-23,24,,0,0,0,,,,,,
D,2020-36-04,5466,W62EOP00,62E,P,P,W,O,P00,NO1,####,####,2019-12-18,2020-01-13,16,0,0,0,0,SS,P,E,P,000,1114318106
