COMPANYID,PESEQUENCENO,CASENO,PROJECTNO,PARENTBLOCKNO,CHILDBLOCKNO,CHILDBLOCKTYPE,PEORDER,PELAG,PEDATE,EQUIPMENTCODE,EQUIPMENTDATE,EQUIPMENTTIME,NUMOFEQUIPMENT,ACTUALPEDATE,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER
D,95909714,2020-36-04,5466,10A,101,B,1,0,2019-11-09,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909715,2020-36-04,5466,10A,102,B,2,3,2019-11-12,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909716,2020-36-04,5466,105,105,N,1,0,2020-01-21,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909717,2020-36-04,5466,12E,106,B,1,0,2019-12-25,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909718,2020-36-04,5466,107,107,N,1,0,2020-01-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909719,2020-36-04,5466,10F,108,B,1,0,2020-01-15,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909720,2020-36-04,5466,10F,109,B,2,3,2020-01-18,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909721,2020-36-04,5466,11A,10A,S,4,7,2019-12-07,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909722,2020-36-04,5466,11A,10C,S,5,20,2019-12-20,GCNO1C00,Day,180,,,2020-04-20,1007589,2020-04-23,1008003
D,95909723,2020-36-04,5466,11H,10H,S,3,7,2020-01-13,FC000360,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909724,2020-36-04,5466,10A,110,B,3,4,2019-11-13,GCNO1C00,Day조60,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909725,2020-36-04,5466,11H,111,B,1,0,2020-01-06,GCNO3C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909726,2020-36-04,5466,11H,113,B,2,0,2020-01-06,GCNO3C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909727,2020-36-04,5466,11A,11B,S,1,0,2019-11-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909728,2020-36-04,5466,11B,121,B,2,0,2019-10-02,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909729,2020-36-04,5466,10C,122,B,1,0,2019-11-27,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909730,2020-36-04,5466,12D,123,B,1,0,2019-12-28,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909731,2020-36-04,5466,12E,124,B,2,2,2019-12-27,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909732,2020-36-04,5466,12E,125,B,4,5,2019-12-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909733,2020-36-04,5466,11B,131,B,1,0,2019-10-02,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909734,2020-36-04,5466,10C,132,B,2,0,2019-11-27,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909735,2020-36-04,5466,13D,133,B,1,0,2019-12-31,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909736,2020-36-04,5466,13E,134,B,1,0,2019-12-31,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909737,2020-36-04,5466,13E,135,B,3,9,2020-01-09,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909738,2020-36-04,5466,10C,142,B,3,1,2019-11-28,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909739,2020-36-04,5466,12D,143,B,2,0,2019-12-28,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909740,2020-36-04,5466,12E,144,B,3,2,2019-12-27,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909741,2020-36-04,5466,12E,145,B,5,5,2019-12-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909742,2020-36-04,5466,10C,152,B,4,1,2019-11-28,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909743,2020-36-04,5466,13D,153,B,2,6,2020-01-06,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909744,2020-36-04,5466,13E,154,B,2,7,2020-01-07,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
