COMPANYID,RELATIONNO,CASENO,PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,RELATIONTYPE,PITCH,LAG,NETWORKID,LOCATIONCODE,LOCATIONTYPE,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER,FLAGCODE,PROCESSCODE,PROCESSSERNO
D,1114318299,2020-36-04,5466,W105ON00,A105O000,SS,,-66,,105,P,2020-04-21,1008003,,,,,
D,1114318354,2020-36-04,5466,W107ON00,A107O000,SS,,-50,,107,P,2020-04-21,1008003,,,,,
D,1114318268,2020-36-04,5466,E10AP000,A10AO000,SS,,0,,10A,P,2020-04-21,1008003,,,,,
D,1114318481,2020-36-04,5466,E10CP000,A10CO000,SS,,0,,10C,P,2020-04-21,1008003,,,,,
D,1114318260,2020-36-04,5466,E10FP000,A10FO000,SS,,0,,10F,P,2020-04-21,1008003,,,,,
D,1114318538,2020-36-04,5466,E10HP000,A10HO000,SS,,0,,10H,P,2020-04-21,1008003,,,,,
D,1114318121,2020-36-04,5466,E11AP000,A11AO000,SS,,0,,11A,P,2020-04-21,1008003,,,,,
D,1114318529,2020-36-04,5466,E11BP000,A11BO000,SS,,0,,11B,P,2020-04-21,1008003,,,,,
D,1114318488,2020-36-04,5466,E11HP000,A11HO000,SS,,0,,11H,P,2020-04-21,1008003,,,,,
D,1114318323,2020-36-04,5466,E12DP000,A12DO000,SS,,0,,12D,P,2020-04-21,1008003,,,,,
D,1114318293,2020-36-04,5466,E12EP000,A12EO000,SS,,0,,12E,P,2020-04-21,1008003,,,,,
D,1114318150,2020-36-04,5466,E13DP000,A13DO000,SS,,0,,13D,P,2020-04-21,1008003,,,,,
D,1114318519,2020-36-04,5466,E13EP000,A13EO000,SS,,0,,13E,P,2020-04-21,1008003,,,,,
D,1114318114,2020-36-04,5466,E20JP000,A20JO000,SS,,0,,20J,P,2020-04-21,1008003,,,,,
D,1114318143,2020-36-04,5466,E20KP000,A20KO000,SS,,0,,20K,P,2020-04-21,1008003,,,,,
D,1114318166,2020-36-04,5466,E20LP000,A20LO000,SS,,0,,20L,P,2020-04-21,1008003,,,,,
D,1114318192,2020-36-04,5466,E20MP000,A20MO000,SS,,0,,20M,P,2020-04-21,1008003,,,,,
D,1114318449,2020-36-04,5466,E20NP000,A20NO000,SS,,0,,20N,P,2020-04-21,1008003,,,,,
D,1114318408,2020-36-04,5466,E22AP000,A22AO000,SS,,0,,22A,P,2020-04-21,1008003,,,,,
D,1114318275,2020-36-04,5466,E22BP000,A22BO000,SS,,0,,22B,P,2020-04-21,1008003,,,,,
D,1114318553,2020-36-04,5466,E23AP000,A23AO000,SS,,0,,23A,P,2020-04-21,1008003,,,,,
D,1114318471,2020-36-04,5466,E23BP000,A23BO000,SS,,0,,23B,P,2020-04-21,1008003,,,,,
D,1114318298,2020-36-04,5466,W421ON00,A421O000,SS,,-60,,421,P,2020-04-21,1008003,,,,,
D,1114318242,2020-36-04,5466,W431ON00,A431O000,SS,,-60,,431,P,2020-04-21,1008003,,,,,
D,1114318348,2020-36-04,5466,E50AP000,A50AO000,SS,,0,,50A,P,2020-04-21,1008003,,,,,
D,1114318630,2020-36-04,5466,E50BP000,A50BO000,SS,,0,,50B,P,2020-04-21,1008003,,,,,
D,1114318336,2020-36-04,5466,E50CP000,A50CO000,SS,,0,,50C,P,2020-04-21,1008003,,,,,
D,1114318129,2020-36-04,5466,E50DP000,A50DO000,SS,,0,,50D,P,2020-04-21,1008003,,,,,
D,1114318203,2020-36-04,5466,E50EP000,A50EO000,SS,,0,,50E,P,2020-04-21,1008003,,,,,
D,1114318126,2020-36-04,5466,E50FP000,A50FO000,SS,,0,,50F,P,2020-04-21,1008003,,,,,
D,1114318419,2020-36-04,5466,E50GP000,A50GO000,SS,,0,,50G,P,2020-04-21,1008003,,,,,
D,1114318256,2020-36-04,5466,E50HP000,A50HO000,SS,,0,,50H,P,2020-04-21,1008003,,,,,
D,1114318445,2020-36-04,5466,E50JP000,A50JO000,SS,,0,,50J,P,2020-04-21,1008003,,,,,
D,1114318500,2020-36-04,5466,E50KP000,A50KO000,SS,,0,,50K,P,2020-04-21,1008003,,,,,
D,1114318469,2020-36-04,5466,E50LP000,A50LO000,SS,,0,,50L,P,2020-04-21,1008003,,,,,
D,1114318388,2020-36-04,5466,E50MP000,A50MO000,SS,,0,,50M,P,2020-04-21,1008003,,,,,
D,1114318224,2020-36-04,5466,E50NP000,A50NO000,SS,,0,,50N,P,2020-04-21,1008003,,,,,
D,1114318110,2020-36-04,5466,E62AP000,A62AO000,SS,,0,,62A,P,2020-04-21,1008003,,,,,
D,1114318522,2020-36-04,5466,E62CP000,A62CO000,SS,,0,,62C,P,2020-04-21,1008003,,,,,
D,1114318591,2020-36-04,5466,E62DP000,A62DO000,SS,,0,,62D,P,2020-04-21,1008003,,,,,
D,1114318107,2020-36-04,5466,E62EP000,A62EO000,SS,,0,,62E,P,2020-04-21,1008003,,,,,
D,1114318640,2020-36-04,5466,E62FP000,A62FO000,SS,,0,,62F,P,2020-04-21,1008003,,,,,
D,1114318458,2020-36-04,5466,E62GP000,A62GO000,SS,,0,,62G,P,2020-04-21,1008003,,,,,
D,1114318507,2020-36-04,5466,E62HP000,A62HO000,SS,,0,,62H,P,2020-04-21,1008003,,,,,
D,1114318600,2020-36-04,5466,E63AP000,A63AO000,SS,,0,,63A,P,2020-04-21,1008003,,,,,
D,1114318464,2020-36-04,5466,E63CP000,A63CO000,SS,,0,,63C,P,2020-04-21,1008003,,,,,
D,1114318237,2020-36-04,5466,E63DP000,A63DO000,SS,,0,,63D,P,2020-04-21,1008003,,,,,
D,1114318570,2020-36-04,5466,E63EP000,A63EO000,SS,,0,,63E,P,2020-04-21,1008003,,,,,
D,1114318319,2020-36-04,5466,E63FP000,A63FO000,SS,,0,,63F,P,2020-04-21,1008003,,,,,
D,1114318612,2020-36-04,5466,E63GP000,A63GO000,SS,,0,,63G,P,2020-04-21,1008003,,,,,
D,1114318620,2020-36-04,5466,E63HP000,A63HO000,SS,,0,,63H,P,2020-04-21,1008003,,,,,
D,1114318335,2020-36-04,5466,E80AP000,A80AO000,SS,,0,,80A,P,2020-04-21,1008003,,,,,
D,1114318329,2020-36-04,5466,E80BP000,A80BO000,SS,,0,,80B,P,2020-04-21,1008003,,,,,
D,1114318473,2020-36-04,5466,E80CP000,A80CO000,SS,,0,,80C,P,2020-04-21,1008003,,,,,
D,1114318371,2020-36-04,5466,E80DP000,A80DO000,SS,,0,,80D,P,2020-04-21,1008003,,,,,
D,1114318399,2020-36-04,5466,E90AP000,A90AO000,SS,,0,,90A,P,2020-04-21,1008003,,,,,
D,1114318594,2020-36-04,5466,E91AP000,A91AO000,SS,,0,,91A,P,2020-04-21,1008003,,,,,
D,1114170913,2020-36-04,5466,S101A000,C101CC00,SS,,-7,,101,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170914,2020-36-04,5466,C101CC00,C101CP00,SS,,-1,,101,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170915,2020-36-04,5466,S102A000,C102CC00,SS,,-7,,102,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170916,2020-36-04,5466,C102CC00,C102CP00,SS,,-1,,102,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170917,2020-36-04,5466,S104A000,C104CC00,SS,,-7,,104,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170918,2020-36-04,5466,C104CC00,C104CP00,SS,,-1,,104,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170919,2020-36-04,5466,S105A000,C105CC00,SS,,-7,,105,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170920,2020-36-04,5466,C105CC00,C105CP00,SS,,-1,,105,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170921,2020-36-04,5466,S106A000,C106CC00,SS,,-7,,106,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170922,2020-36-04,5466,C106CC00,C106CP00,SS,,-1,,106,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170923,2020-36-04,5466,S107A000,C107CC00,SS,,-7,,107,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170924,2020-36-04,5466,C107CC00,C107CP00,SS,,-1,,107,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170925,2020-36-04,5466,S108A000,C108CC00,SS,,-7,,108,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170926,2020-36-04,5466,C108CC00,C108CP00,SS,,-1,,108,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170927,2020-36-04,5466,S109A000,C109CC00,SS,,-7,,109,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170928,2020-36-04,5466,C109CC00,C109CP00,SS,,-1,,109,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170929,2020-36-04,5466,S110A000,C110CC00,SS,,-7,,110,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170930,2020-36-04,5466,C110CC00,C110CP00,SS,,-1,,110,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170931,2020-36-04,5466,S111A000,C111CC00,SS,,-7,,111,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170932,2020-36-04,5466,C111CC00,C111CP00,SS,,-1,,111,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170933,2020-36-04,5466,S113A000,C113CC00,SS,,-7,,113,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170934,2020-36-04,5466,C113CC00,C113CP00,SS,,-1,,113,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170935,2020-36-04,5466,S121A000,C121CC00,SS,,-7,,121,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170936,2020-36-04,5466,C121CC00,C121CP00,SS,,-1,,121,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170937,2020-36-04,5466,S122A000,C122CC00,SS,,-8,,122,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170938,2020-36-04,5466,C122CC00,C122CP00,SS,,-1,,122,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170939,2020-36-04,5466,S123A000,C123CC00,SS,,-7,,123,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170940,2020-36-04,5466,C123CC00,C123CP00,SS,,-1,,123,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170941,2020-36-04,5466,S124A000,C124CC00,SS,,-7,,124,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114170942,2020-36-04,5466,C124CC00,C124CP00,SS,,-1,,124,B,2020-04-20,1007589,2020-04-20,1007589,,,
